TYPE,WDPAID,WDPA_PID,PA_DEF,NAME,ORIG_NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,MARINE,REP_M_AREA,GIS_M_AREA,REP_AREA,GIS_AREA,NO_TAKE,NO_TK_AREA,STATUS,STATUS_YR,GOV_TYPE,OWN_TYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,SUB_LOC,PARENT_ISO3,ISO3
Polygon,390546,390546,1,Monumento naturale Bosco Faito,Monumento naturale Bosco Faito,Altre Aree Naturali Protette Regionali,Other Protected Natural Regional Areas,National,III,Not Applicable,0,0,0,3.36,3.36504933882,Not Applicable,0,Designated,2009,Federal or national ministry or agency,Not Reported,Ministero dell'Ambiente e della Tutela del Territorio e del Mare,Not Reported,State Verified,1839,Not Reported,ITA,ITA
Polygon,390542,390542,1,Monumento naturale Gole del Farfa,Monumento naturale Gole del Farfa,Altre Aree Naturali Protette Regionali,Other Protected Natural Regional Areas,National,III,Not Applicable,0,0,0,0.64,1.03095869101,Not Applicable,0,Designated,2007,Federal or national ministry or agency,Not Reported,Ministero dell'Ambiente e della Tutela del Territorio e del Mare,Not Reported,State Verified,1839,Not Reported,ITA,ITA
Polygon,390543,390543,1,Monumento naturale Madonna della Neve,Monumento naturale Madonna della Neve,Altre Aree Naturali Protette Regionali,Other Protected Natural Regional Areas,National,III,Not Applicable,0,0,0,0.03,0.0275258032281,Not Applicable,0,Designated,2007,Federal or national ministry or agency,Not Reported,Ministero dell'Ambiente e della Tutela del Territorio e del Mare,Not Reported,State Verified,1839,Not Reported,ITA,ITA
Polygon,390547,390547,1,Monumento naturale Lago di Giulianello,Monumento naturale Lago di Giulianello,Altre Aree Naturali Protette Regionali,Other Protected Natural Regional Areas,National,III,Not Applicable,0,0,0,1.68,2.64775808279,Not Applicable,0,Designated,2007,Federal or national ministry or agency,Not Reported,Ministero dell'Ambiente e della Tutela del Territorio e del Mare,Not Reported,State Verified,1839,Not Reported,ITA,ITA
Polygon,390549,390549,1,Monumento naturale Parco della Cellulosa,Monumento naturale Parco della Cellulosa,Altre Aree Naturali Protette Regionali,Other Protected Natural Regional Areas,National,III,Not Applicable,0,0,0,1,1.00303768782,Not Applicable,0,Designated,2006,Federal or national ministry or agency,Not Reported,Ministero dell'Ambiente e della Tutela del Territorio e del Mare,Not Reported,State Verified,1839,Not Reported,ITA,ITA
Polygon,390548,390548,1,Monumento naturale Torrecchia Vecchia,Monumento naturale Torrecchia Vecchia,Altre Aree Naturali Protette Regionali,Other Protected Natural Regional Areas,National,III,Not Applicable,0,0,0,4.47,4.47845436796,Not Applicable,0,Designated,2007,Federal or national ministry or agency,Not Reported,Ministero dell'Ambiente e della Tutela del Territorio e del Mare,Not Reported,State Verified,1839,Not Reported,ITA,ITA
Polygon,390550,390550,1,Monumento naturale Lago di Fondi,Monumento naturale Lago di Fondi,Altre Aree Naturali Protette Regionali,Other Protected Natural Regional Areas,National,III,Not Applicable,0,0,0,17.23,14.6836763877,Not Applicable,0,Designated,2006,Federal or national ministry or agency,Not Reported,Ministero dell'Ambiente e della Tutela del Territorio e del Mare,Not Reported,State Verified,1839,Not Reported,ITA,ITA
Polygon,555625774,555625774,1,Busatello marsh,Busatello marsh,"Ramsar Site, Wetland of International Importance","Ramsar Site, Wetland of International Importance",International,III,(ii) (iii) (iv),0,0,0,4.43,4.42997099526,Not Applicable,0,Designated,2017,Federal or national ministry or agency,State,"Gazzo Veronese Municipality, WWF Veronese Association",In preparation,State Verified,1856,Not Reported,ITA,ITA
Polygon,555629240,555629240,1,Trapani and Paceco salt ponds,Trapani and Paceco salt ponds,"Ramsar Site, Wetland of International Importance","Ramsar Site, Wetland of International Importance",International,Not Reported,(ii) (iii),0,0,0,9.71,9.72030964057,Not Applicable,0,Designated,2017,Non-profit organisations,Multiple ownership,WWF Italy,Yes,State Verified,1856,IT-TP,ITA,ITA
Polygon,555540147,555540147,1,"Viadana; Portiolo, San Benedetto Po e Ostiglia","Viadana; Portiolo; San Benedetto Po e Ostiglia",Special Protection Area (Birds Directive),Special Protection Area (Birds Directive),Regional,Not Reported,Not Applicable,0,0,0,72.23,72.2524317626172,Not Applicable,0,Designated,2007,Federal or national ministry or agency,Not Reported,Provincia di Mantova,http://www.natura2000.servizirl.it/,State Verified,1832,Not Reported,ITA,ITA
Polygon,555540148,555540148,1,Biotopo Ontaneto di Sluderno,Biotopo Ontaneto di Sluderno,Special Protection Area (Birds Directive),Special Protection Area (Birds Directive),Regional,Not Reported,Not Applicable,0,0,0,1.25,1.24949000569294,Not Applicable,0,Designated,1988,Federal or national ministry or agency,Not Reported,"Prov. Aut. Bolzano - Ripartizione natura; paesaggio e sviluppo del territorio",Not Reported,State Verified,1832,Not Reported,ITA,ITA
Polygon,555540153,555540153,1,Parco Naturale Vedrette di Ries - Aurina,Parco Naturale Vedrette di Ries - Aurina,Special Protection Area (Birds Directive),Special Protection Area (Birds Directive),Regional,Not Reported,Not Applicable,0,0,0,313.3,312.992406072672,Not Applicable,0,Designated,2000,Federal or national ministry or agency,Not Reported,"Prov. Aut. Bolzano - Ripartizione natura; paesaggio e sviluppo del territorio",http://www.provincia.bz.it/natura-territorio/temi/piano-gestione-ries-aurina.asp,State Verified,1832,Not Reported,ITA,ITA
Polygon,555540155,555540155,1,Valle di Funes - Sas De Putia - Rasciesa nel Parco Naturale Puez-Odle,Valle di Funes - Sas De Putia - Rasciesa nel Parco Naturale Puez-Odle,Special Protection Area (Birds Directive),Special Protection Area (Birds Directive),Regional,Not Reported,Not Applicable,0,0,0,52.77,52.731676929736,Not Applicable,0,Designated,2000,Federal or national ministry or agency,Not Reported,"Prov. Aut. Bolzano - Ripartizione natura; paesaggio e sviluppo del territorio",http://www.provincia.bz.it/natura-territorio/temi/piano-gestione-puez-odle.asp,State Verified,1832,Not Reported,ITA,ITA
