id,name,highway,public_tra,operator,shelter,bus,route_ref,network,bench,wheelchair,amenity,railway,website,train,covered,line,route,alt_name,ferry,contact_we,opening_ho,contact_ph,email,contact_mo,station,aeroway,contact_em,contact_fa,official_n,lat,lon,COD_RIP,COD_REG,COD_PROV,COD_CM,COD_PCM,DEN_PROV,DEN_CM,DEN_PCM,SIGLA,Shape_Leng,Shape_Area
2489191096.00000,Thermen - Terme,bus_stop,platform,SASA,,,"201;1;2;3;4;6;146;211;212;221;225",Verkehrsverbund Südtirol,yes,,,,,,,,,,,,,,,,,,,,,46.6678568,11.1587681,2,4,21,0,21,Bolzano,-,Bolzano,BZ,664502.76007,7397857497.19000
2489191098.00000,Piave Straße - Via Piave,bus_stop,platform,SASA,no,,"6;146;211;212",,yes,,,,,,,,,,,,,,,,,,,,,46.6661439,11.1585561,2,4,21,0,21,Bolzano,-,Bolzano,BZ,664502.76007,7397857497.19000
2489191099.00000,Piave Straße - Via Piave,bus_stop,platform,SASA,no,,"211;212;214",,no,,,,,,,,,,,,,,,,,,,,,46.6662025,11.1586208,2,4,21,0,21,Bolzano,-,Bolzano,BZ,664502.76007,7397857497.19000
2489191100.00000,Viale Principe Eugenio - Prinz Eugen Allee,bus_stop,,SASA,no,,"1;14",TVS,,,,,,,,,,,,,,,,,,,,,,46.5045656,11.3407744,2,4,21,0,21,Bolzano,-,Bolzano,BZ,664502.76007,7397857497.19000
2489191101.00000,Raffeingasse - Vicolo Raffein,bus_stop,,SASA,,,215,,,,,,,,,,,,,,,,,,,,,,,46.6224461,11.1417928,2,4,21,0,21,Bolzano,-,Bolzano,BZ,664502.76007,7397857497.19000
2489191102.00000,Borgo Andreina,bus_stop,platform,SASA,yes,,,,yes,,,,,,,,,,,,,,,,,,,,,46.6552598,11.1499773,2,4,21,0,21,Bolzano,-,Bolzano,BZ,664502.76007,7397857497.19000
2489191103.00000,Borgo Andreina,bus_stop,platform,SASA,yes,,212,Verkehrsverbund Südtirol,yes,,,,,,,,,,,,,,,,,,,,,46.6554536,11.1499892,2,4,21,0,21,Bolzano,-,Bolzano,BZ,664502.76007,7397857497.19000
2489191104.00000,Pobitzer-Mühle - Molino Pobitzer,bus_stop,platform,SASA,,,,,yes,,,,,,,,,,,,,,,,,,,,,46.6526699,11.1541435,2,4,21,0,21,Bolzano,-,Bolzano,BZ,664502.76007,7397857497.19000
2489191105.00000,Pobitzer-Mühle - Molino Pobitzer,bus_stop,platform,SASA,no,,212,Verkehrsverbund Südtirol,no,,,,,,,,,,,,,,,,,,,,,46.6528481,11.15366,2,4,21,0,21,Bolzano,-,Bolzano,BZ,664502.76007,7397857497.19000
2489191106.00000,Luis-Zuegg-Schule - Scuola Luis Zuegg,bus_stop,platform,SASA,no,,,Verkehrsverbund Südtirol,no,,,,,,,,,,,,,,,,,,,,,46.6518544,11.1585103,2,4,21,0,21,Bolzano,-,Bolzano,BZ,664502.76007,7397857497.19000
2489191107.00000,Zuegg Schule - Scuola Zuegg,bus_stop,platform,SASA,,,,Verkehrsverbund Südtirol,yes,,,,,,,,,,,,,,,,,,,,,46.6520437,11.1580498,2,4,21,0,21,Bolzano,-,Bolzano,BZ,664502.76007,7397857497.19000
2489191108.00000,Via Glorenza - Glurnser Weg,bus_stop,,SASA,yes,,"9;10A",,,,,,,,,,,,,,,,,,,,,,,46.4884125,11.3177242,2,4,21,0,21,Bolzano,-,Bolzano,BZ,664502.76007,7397857497.19000
2489191109.00000,Via Glorenza - Glurnser-Weg,bus_stop,,SASA,yes,,"9;10B;16",,,,,,,,,,,,,,,,,,,,,,,46.488485,11.3177347,2,4,21,0,21,Bolzano,-,Bolzano,BZ,664502.76007,7397857497.19000
2489191110.00000,Via Malles - Malserstraße,bus_stop,,SASA,yes,,"6;10A;153",,,,,,,,,,,,,,,,,,,,,,,46.4867261,11.3187867,2,4,21,0,21,Bolzano,-,Bolzano,BZ,664502.76007,7397857497.19000
2489191111.00000,Via Malles - Malserstraße,bus_stop,,SASA,yes,,"6;10B;16",,,,,,,,,,,,,,,,,,,,,,,46.4870217,11.3187033,2,4,21,0,21,Bolzano,-,Bolzano,BZ,664502.76007,7397857497.19000
2489191112.00000,Ponte Resia - Reschenbrücke,bus_stop,,SASA,,,"6;10A",,,,,,,,,,,,,,,,,,,,,,,46.4823464,11.3223019,2,4,21,0,21,Bolzano,-,Bolzano,BZ,664502.76007,7397857497.19000
2489191113.00000,Ponte Resia - Reschenbrücke,bus_stop,,SASA,yes,,"6;10B",,,,,,,,,,,,,,,,,,,,,,,46.4825117,11.3222069,2,4,21,0,21,Bolzano,-,Bolzano,BZ,664502.76007,7397857497.19000
2489191114.00000,Riffian - Rifiano,bus_stop,platform,240=SASA / 224=SASA,yes,,"224;240",,yes,,,,,,,,,,,,,,,,,,,,,46.7023021,11.18062,2,4,21,0,21,Bolzano,-,Bolzano,BZ,664502.76007,7397857497.19000
2489191116.00000,Riffian - Rifiano,bus_stop,platform,SAD/SASA,yes,,,,yes,,,,,,,,,,,,,,,,,,,,,46.7023624,11.1807968,2,4,21,0,21,Bolzano,-,Bolzano,BZ,664502.76007,7397857497.19000
2489191117.00000,Negrelli Schule - Scuola Negrelli,bus_stop,,SASA,yes,,"201;2",,,,,,,,,,,,,,,,,,,,,,,46.6630692,11.1625506,2,4,21,0,21,Bolzano,-,Bolzano,BZ,664502.76007,7397857497.19000
2489191118.00000,Negrelli Schule - Scuola Negrelli,bus_stop,,SASA,yes,,"201;2",,,,,,,,,,,,,,,,,,,,,,,46.6631815,11.1622968,2,4,21,0,21,Bolzano,-,Bolzano,BZ,664502.76007,7397857497.19000
2489191119.00000,Kofler Platz - Piazza Kofler,bus_stop,,SASA,,,2,,,,,,,,,,,,,,,,,,,,,,,46.6618686,11.1641211,2,4,21,0,21,Bolzano,-,Bolzano,BZ,664502.76007,7397857497.19000
